id	message
2FA_CONFIRM_WAIT_X	Since this account is active and protected by a 2FA password, we will delete it in 1 week for security purposes. You can cancel this process at any time, you'll be able to reset your account in {value} seconds.
ABOUT_TOO_LONG	About string too long.
ACCESS_TOKEN_EXPIRED	Access token expired.
ACCESS_TOKEN_INVALID	Access token invalid.
ADDRESS_INVALID	The specified geopoint address is invalid.
ADMINS_TOO_MUCH	There are too many admins.
ADMIN_ID_INVALID	The specified admin ID is invalid.
ADMIN_RANK_EMOJI_NOT_ALLOWED	An admin rank cannot contain emojis.
ADMIN_RANK_INVALID	The specified admin rank is invalid.
ADMIN_RIGHTS_EMPTY	The chatAdminRights constructor passed in keyboardButtonRequestPeer.peer_type.user_admin_rights has no rights set (i.e. flags is 0).
AD_EXPIRED	The ad has expired (too old or not found).
ALBUM_PHOTOS_TOO_MANY	You have uploaded too many profile photos, delete some before retrying.
API_ID_INVALID	API ID invalid.
API_ID_PUBLISHED_FLOOD	This API id was published somewhere, you can't use it now.
ARTICLE_TITLE_EMPTY	The title of the article is empty.
AUDIO_CONTENT_URL_EMPTY	The remote URL specified in the content field is empty.
AUDIO_TITLE_EMPTY	An empty audio title was provided.
AUTH_BYTES_INVALID	The provided authorization is invalid.
AUTH_TOKEN_ALREADY_ACCEPTED	The specified auth token was already accepted.
AUTH_TOKEN_EXCEPTION	An error occurred while importing the auth token.
AUTH_TOKEN_EXPIRED	The authorization token has expired.
AUTH_TOKEN_INVALID	The specified auth token is invalid.
AUTH_TOKEN_INVALIDX	The specified auth token is invalid.
AUTOARCHIVE_NOT_AVAILABLE	The autoarchive setting is not available at this time: please check the value of the [autoarchive_setting_available field in client config &raquo;](https://core.telegram.org/api/config#client-configuration) before calling this method.
BALANCE_TOO_LOW	The transaction cannot be completed because the current [Telegram Stars balance](https://core.telegram.org/api/stars) is too low.
BANK_CARD_NUMBER_INVALID	The specified card number is invalid.
BANNED_RIGHTS_INVALID	You provided some invalid flags in the banned rights.
BASE_PORT_LOC_INVALID	The base port location is invalid
BIRTHDAY_INVALID	An invalid age was specified, must be between 0 and 150 years.
BOOSTS_EMPTY	No boost slots were specified.
BOOSTS_REQUIRED	The specified channel must first be [boosted by its users](https://core.telegram.org/api/boost) in order to perform this action.
BOOST_NOT_MODIFIED	You're already [boosting](https://core.telegram.org/api/boost) the specified channel.
BOOST_PEER_INVALID	The specified `boost_peer` is invalid.
BOTS_TOO_MUCH	There are too many bots in this chat/channel.
BOT_ALREADY_DISABLED	The connected business bot was already disabled for the specified peer.
BOT_APP_BOT_INVALID	The bot_id passed in the inputBotAppShortName constructor is invalid.
BOT_APP_INVALID	The specified bot app is invalid.
BOT_APP_SHORTNAME_INVALID	The specified bot app short name is invalid.
BOT_BUSINESS_MISSING	The specified bot is not a business bot (the [user](https://core.telegram.org/constructor/user).`bot_business` flag is not set).
BOT_CHANNELS_NA	Bots can't edit admin privileges.
BOT_COMMAND_DESCRIPTION_INVALID	The specified command description is invalid.
BOT_COMMAND_INVALID	The specified command is invalid.
BOT_DOMAIN_INVALID	Bot domain invalid.
BOT_FALLBACK_UNSUPPORTED	The fallback flag can't be set for bots.
BOT_GAMES_DISABLED	Games can't be sent to channels.
BOT_GROUPS_BLOCKED	This bot can't be added to groups.
BOT_INLINE_DISABLED	This bot can't be used in inline mode.
BOT_INVALID	This is not a valid bot.
BOT_INVOICE_INVALID	The specified invoice is invalid.
BOT_METHOD_INVALID	The specified method cannot be used by bots.
BOT_MISSING	Only bots can call this method, please use [@stickers](https://t.me/stickers) if you're a user.
BOT_NOT_CONNECTED_YET	No [business bot](https://core.telegram.org/api/business#connected-bots) is connected to the currently logged in user.
BOT_ONESIDE_NOT_AVAIL	Bots can't pin messages in PM just for themselves.
BOT_PAYMENTS_DISABLED	Please enable bot payments in botfather before calling this method.
BOT_POLLS_DISABLED	Sending polls by bots has been disabled
BOT_RESPONSE_TIMEOUT	A timeout occurred while fetching data from the bot.
BOT_SCORE_NOT_MODIFIED	The score wasn't modified.
BOT_WEBVIEW_DISABLED	A webview cannot be opened in the specified conditions: emitted for example if `from_bot_menu` or `url` are set and `peer` is not the chat with the bot.
BROADCAST_ID_INVALID	Broadcast ID invalid.
BROADCAST_PUBLIC_VOTERS_FORBIDDEN	You can't forward polls with public voters.
BROADCAST_REQUIRED	This method can only be called on a channel, please use stats.getMegagroupStats for supergroups.
BUSINESS_CONNECTION_INVALID	The `connection_id` passed to the wrapping [invokeWithBusinessConnection](https://core.telegram.org/api/business) call is invalid.
BUSINESS_CONNECTION_NOT_ALLOWED	This method was invoked over a business connection using [invokeWithBusinessConnection](https://core.telegram.org/api/business#connected-bots), but either (1) we're a user, and users cannot invoke methods over a business connection; (2) we're a bot, but business mode was disabled in @botfather or (3); we're a bot, but this method cannot be invoked over a business connection.
BUSINESS_PEER_INVALID	Messages can't be set to the specified peer through the current [business connection](https://core.telegram.org/api/business#connected-bots).
BUSINESS_PEER_USAGE_MISSING	You cannot send a message to a user through a [business connection](https://core.telegram.org/api/business#connected-bots) if the user hasn't recently contacted us.
BUSINESS_RECIPIENTS_EMPTY	You didn't set any flag in inputBusinessBotRecipients, thus the bot cannot work with *any* peer.
BUSINESS_WORK_HOURS_EMPTY	No work hours were specified.
BUSINESS_WORK_HOURS_PERIOD_INVALID	The specified work hours are invalid, see [here &raquo;](https://core.telegram.org/api/business#opening-hours) for the exact requirements.
